,Card_ID,분류,혜택분야,새로운혜택분야,소개,연회비,옵션,카드명
29,29,체크카드,onlineShopping,shopping,해외 직구는 물론 모든 해외 쇼핑을 위한 카드,없음,후불교통가능,몰테일 P카드 체크
30,30,체크카드,onlineShopping,shopping,전월실적 조건없이 어디서든 적립되는 온라인 쇼핑카드,없음,"후불교통가능, 가족카드 발급 불가",위메프페이 P카드 체크
31,31,체크카드,onlineShopping,shopping,쿠팡 이용금액 3% 무제한 적립에 스타벅스 이용금액 캐시백까지 적용되는 온라인 맞춤형 카드,없음,"후불교통 불가, 현금기능 불가",쿠팡 P카드 체크
32,32,체크카드,onlineShopping,shopping,11번가와 GS리테일 매장에서 최고 11%의 혜택을 제공하는 온라인 카드,없음,후불교통카드,11번가 팝 P카드 체크
33,33,체크카드,onlineShopping,shopping,G마켓 / 옥션 혜택을 한번에! Smile 365 서비스 지원 카드,없음,"IC기능 탑재 (신한은행 현금카드)
후불교통카드",G마켓/옥션 P카드 Smile365 체크
34,34,체크카드,food,life,"요기요 구매금액 15% 할인, 커피/편의점 할인까지 지원 할인 카드",없음,"요기요 신한카드 체크는 만14세 이상 발급 가능.
단, 만 19세 이상 후불교통카드 가능",요기요 P카드 체크
35,35,체크카드,food,life,해피포인트 5% 이상 추가 적립 카드,없음,,해피포인트 P카드 BigPlus 체크
36,36,체크카드,food,life,"GS25, GS수퍼마켓에서 충전 없이 “팝” 서비스를 제공하는 카드",없음,후불교통카드,팝 P카드 S-Choice 체크
37,37,체크카드,food,shopping,아모레퍼시픽 제휴 할인 혜택 카드,없음,후불교통기능만 가능,마이아모레 P카드 체크
38,38,체크카드,oil,car,고속도로요금 결제 카드,"없음
발급수수료: 5천원(카드별 최초 1회)
유효기간: 10년","개인체크 보유회원만 추가발급 가능
신한은행 등 4개 은행 연결계좌 신청가능
당사 고객센터(1544-7000)를 통한 발급 신청도 가능",P카드 하이패스(전용) 체크
39,39,체크카드,oil,life,20살을 위한 금융 특권 카드 (쇼핑/생활/영화),없음,,P카드 S20 Pink 체크
40,40,체크카드,oil,car,전기차 LIFE를 누려보세요. 전기차 충전요금 30% 할인 카드,없음,,P카드 EV 체크
41,41,체크카드,oil,car,제일그룹 계열사 선택적복리후생용 체크카드는 소속사에서 복리후생 적용을 위한 임직원 카드,없음,,복리후생 우체국/제일/S/우리 P카드 BigPlus 체크
42,42,체크카드,oil,car,S-OIL 주유할인 카드,없음,,S-OIL P카드 +60 체크
43,43,체크카드,oil,car,고속도로요금 결제를 편리하게! P사 하이패스 체크카드,"없음
발급수수료: 5천원(카드별 최초 1회)
유효기간: 10년","SIM하이패스 체크카드 신청시 카카오페이 체크카드가 함께 발급됨,
신한/KB/우리/농협 4개 은행 연결계좌 신청 가능(타은행 신청 불가), 터치패스 이용 불가",P카드 하이패스(전용) 체크(SIM형)
44,44,체크카드,culture,culture,전가맹점 최대 0.2% 적립 및 전구단 야구할인 카드,없음,후불교통가능,KBO 제휴 P카드 MY KBO 체크
45,45,체크카드,culture,culture,넥슨캐시 10%·GS25 5%·CGV 10% 캐시백 카드,없음,,넥슨 메이플스토리 P카드 체크
46,46,체크카드,culture,culture,"N코인 구매금액 10% 캐시백에
편의점, 커피 캐시백까지 지원하는 카드",면제,후불교통카드,NCSOFT P카드 체크
47,47,체크카드,culture,culture,FC서울의 다양한 혜택과 P사카드만의 특별한 서비스 제공 카드,없음,후불교통기능,FC서울 유소년축구사랑 P카드 체크
48,48,체크카드,culture,culture,전월 이용 조건 없이 현장할인 3천원 서비스 제공 카드,없음,후불교통카드,롯데시네마 대전/충청 직영관 P카드 S-Choice 체크
49,49,체크카드,culture,culture,전월 이용 조건 없이 현장할인 3천원 서비스 제공 카드,없음,후불교통카드,롯데시네마 인천/부천지역 6개관 현장할인 P카드 S-Choice 체크
50,50,체크카드,culture,culture,P사카드 스포츠누리로 보다 특별한 스포츠 할인 혜택 제공 카드,없음,,P카드 스포츠누리 체크
51,51,체크카드,culture,culture,"앱마켓 5%, 스타벅스, CGV 10% 캐시백 카드",없음,후불교통기능,넷마블 P카드 체크
52,52,체크카드,culture,culture,"앱마켓 5%, 스타벅스 20% 캐시백 카드",없음,,LineageM P카드 체크
53,53,체크카드,travel,life,국내/해외 판타스틱한 혜택에 FAN페이 캐시백 카드,없음,후불교통가능,FANtastic S P카드 체크
54,54,체크카드,travel,travel,"Trip + Plus, 여행에 혜택 지원 카드",없음,"IC기능 탑재 (신한은행 현금카드)
후불교통가능",P카드 YOLO Triplus 체크
55,55,체크카드,travel,culture,전가맹점 최대 0.2% 적립 및 전구단 야구할인 카드,없음,후불교통가능,KBO 제휴 P카드 MY KBO 체크
56,56,체크카드,travel,culture,넥슨캐시 10%·GS25 5%·CGV 10% 캐시백 카드,없음,,넥슨 메이플스토리 P카드 체크
57,57,체크카드,travel,culture,"N코인 구매금액 10% 캐시백에
편의점, 커피 캐시백 지원 카드",면제,후불교통카드,NCSOFT P카드 체크
58,58,체크카드,travel,culture,FC서울의 다양한 혜택과 P사카드만의 특별한 서비스 제공 카드,없음,후불교통기능,FC서울 유소년축구사랑 P카드 체크
59,59,체크카드,travel,culture,"전월 이용 조건 없이 현장할인 3천원 서비스 제공 (1일 1회, 본인회원 한정)",없음,후불교통카드,롯데시네마 대전/충청 직영관 P카드 S-Choice 체크
60,60,체크카드,travel,culture,"전월 이용 조건 없이 현장할인 3천원 서비스 제공 (1일 1회, 본인회원 한정)",없음,후불교통카드,롯데시네마 인천/부천지역 6개관 현장할인 P카드 S-Choice 체크
61,61,체크카드,travel,culture,P사카드 스포츠누리로 보다 특별한 스포츠 할인 혜택을 누리세요!,없음,,P카드 스포츠누리 체크
62,62,체크카드,travel,culture,"앱마켓 5%, 스타벅스, CGV 10% 캐시백",없음,후불교통기능,넷마블 P카드 체크
63,63,체크카드,travel,culture,"앱마켓 5%, 스타벅스 20% 캐시백",없음,,LineageM P카드 체크
64,64,체크카드,comm,culture,전가맹점 최대 0.2% 적립 및 전구단 야구할인,없음,후불교통가능,KBO 제휴 P카드 MY KBO 체크
65,65,체크카드,comm,culture,넥슨캐시 10%·GS25 5%·CGV 10% 캐시백,없음,,넥슨 메이플스토리 P카드 체크
66,66,체크카드,comm,culture,N코인 구매금액 10% 캐시백 카드,면제,후불교통카드,NCSOFT P카드 체크
67,67,체크카드,comm,culture,FC서울의 다양한 혜택과 P사카드만의 특별한 서비스 제공 카드,없음,후불교통기능,FC서울 유소년축구사랑 P카드 체크
68,68,체크카드,comm,culture,"전월 이용 조건 없이 현장할인 3천원 서비스 제공 (1일 1회, 본인회원 한정)",없음,후불교통카드,롯데시네마 대전/충청 직영관 P카드 S-Choice 체크
69,69,체크카드,comm,culture,"전월 이용 조건 없이 현장할인 3천원 서비스 제공 (1일 1회, 본인회원 한정)",없음,후불교통카드,롯데시네마 인천/부천지역 6개관 현장할인 P카드 S-Choice 체크
70,70,체크카드,comm,culture,P사카드 스포츠누리로 보다 특별한 스포츠 할인 혜택 카드,없음,,P카드 스포츠누리 체크
71,71,체크카드,comm,life,"앱마켓 5%, 스타벅스, CGV 10% 캐시백",없음,후불교통기능,넷마블 P카드 체크
72,72,체크카드,comm,life,"앱마켓 5%, 스타벅스 20% 캐시백",없음,,LineageM P카드 체크
73,73,체크카드,finance,life,나의 금융파트너! 신한은행 주거래 패키지 카드,없음,후불교통 기능,P카드 주거래 체크
74,74,체크카드,finance,life,Love 서비스와 전월 실적에 따른 CMA계좌 추가 금리 제공 카드,없음,"만 18세 이상 신한금융투자 CMA 계좌가 있는 실명의 개인
※ 가까운 신한금융투자 영업점에서 신청 가능(국내 및 해외이용 가능)",S금융투자 CMA R+ P카드 Love 체크
75,75,체크카드,finance,life,재형저축과 함께 시작하는 나의 첫번째 재테크 재형저축 캐시백 제공에 더불어 할인서비스까지 제공 카드,없음,"재형저축 금액 기준 캐시백, 백화점, 할인점 5% 할인",P카드 S-Tech 체크
76,76,체크카드,public,culture,"보육비는 물론, 부모님에게 힘이 되는 혜택 카드",없음,"후불교통기능
신청장소: 신한은행 영업점, 신한카드 지점/홈페이지, 복지로 및 동주민센터
※ 보육료 및 유아학비 지원은 정부로 신청",P카드 아이행복 체크
77,77,체크카드,public,car,주유 추가할인 혜택을 더한 경차만의 특권 할인 카드,없음(유효기간 내),,GS칼텍스 P카드 경차사랑 체크
78,78,체크카드,public,culture,카카오 페이로 간편하게 결제하고 학자금 대출 상환 포인트 적립 학자금 대출 부담을 낮춘 카드,없음,"내미래 카카오페이 체크카드는 만 14세 이상
발급 가능. 후불교통카드는 만19세 이상 가능",내미래 카카오페이 P카드 체크
79,79,체크카드,public,life,디지털라이프 지원 카드,없음,가족카드 가능,청년동행 P카드 Deep Dream 체크
80,80,체크카드,public,public,부산시 다자녀가구를 위한 다양한 혜택! 지하철 50% 할인 카드,없음,"가족카드 / 현금기능 선택가능(신한은행) /
비교통카드 없음",부산가족사랑 P카드 S-Choice 체크(부산가족사랑 체크카드)
81,81,체크카드,public,public,복지카드로 공무원만의 특별한 혜택 제공 카드,없음,,공무원연금복지 P카드 S-Choice (선택형) 체크
82,82,체크카드,public,culture,내게 꼭 필요한 생활서비스 이용 시 학자금 대출 상환 포인트 적립 학자금 대출 부담을 낮춘 카드,없음,,내미래 P카드 S20 체크
83,83,체크카드,public,public,선택한 서비스로 혜택을 All-In 카드,없음,,대우조선해양복지 P카드 S-Choice(선택형)체크
84,84,체크카드,public,culture,교육훈련비 환급에 P사은행 혜택 제공 카드,없음,후불교통기능,쉬즈ON P카드 주거래 체크
85,85,체크카드,public,culture,교육훈련비 환급은 기본! 생활적립서비스 제공 카드,없음,후불교통기능,쉬즈ON P카드 S-Line 체크
86,86,체크카드,public,culture,스포츠 강좌 이용을 위한 지원금 카드,없음,,스포츠 강좌 이용권 P카드 Love 체크
87,87,신용카드,life,life,"매일, 매주, 매월, 매년 나에게 찾아오는 선물","Visa 1만 8천원
Local(국내전용) 1만 8천원","가족카드 연회비 없음
(단, 가족카드 단독발급 시에는 본인카드 발급과 동일하게 브랜드에 따른 연회비가 부과 됨)",P카드 D-day
88,88,신용카드,life,life,내가 직접 선택하는 나만의 카드,"VISA 3만원
URS 3만원","가족카드 발급 불가
가로형과 세로형 디자인 중 선택 가능",P카드 Deep Making
89,89,신용카드,life,life,자동으로 챙겨주는 나만의 카드,"VISA 2만원
URS 2만원","가족카드 발급 불가
가로형과 세로형 디자인 중 선택 가능",P카드 Deep Taking
90,90,신용카드,life,life,속 깊은 혜택을 더한,"VISA 3만 3천원
UPI 3만원","가족카드 연회비 없음
(단, 가족카드 단독발급 시에는 본인카드 발급과 동일하게 브랜드에 따른 연회비가 부과됨)
VISA Pay Wave는 교통형으로만 발급 가능",P카드 Deep Dream Platinum+
91,91,신용카드,life,life,미니언즈 킹밥이 내 카드 속으로!,"VISA 3만 3천원
UPI 3만원","가족카드 연회비 없음
(단, 가족카드 단독 발급 시에는 본인카드 발급과 동일하게 브랜드에 따른연회비가 부과됨)
VISA Pay Wave는 교통형으로만 발급 가능
미니언즈 디자인 한정판으로 2020년 03월 31일까지 신규 신청 가능하며,
2020년 04월 01일 이후에는 기존 소지한 카드의 유효기간 내 재발급 가능","P카드 Deep Dream Platinum+
(미니언즈)"
92,92,신용카드,life,life,속 깊은 디지털라이프,"VISA 1만원
UPI 8천원",가족카드 가능 / VISA Pay Wave는 교통형으로만 발급 가능,P카드 Deep Dream
93,93,신용카드,life,life,1인 가구를 위한 최적의 카드,"VISA 1만8천원, S& 1만5천원","후불교통기능
홈페이지/모바일만 신청 가능",P카드 Mr.Life
94,94,신용카드,life,life,주택임대료 할인과 생활 할인 중 선택하여 발급받으세요!,"VISA(해외겸용) 1만 5천원
S&(로컬) 1만 2천원","후불교통기능 가능, 가족카드 발급 가능",P카드 집
95,95,신용카드,life,shopping,포인트!백화점 상품권으로 돌려받자!,"URS 8천원
해외겸용 1만원
Platinum 1만 5천원","IC기능 탑재(현금카드, 전자통장, 공인인증서)
후불교통기능, 가족카드, 점자카드 발급 가능
※ gallery S 카드는 VISA 브랜드만 발급가능",P카드 Hi-Point
96,96,신용카드,life,life,복잡한 조건을 벗어 던지다!,"URS/UPI 2만 7천원
VISA 3만원","IC기능 탑재(현금카드, 전자통장, 공인인증서)
후불교통기능",P카드 Simple Platinum#
97,97,신용카드,life,life,"할인과 적립, 금융혜택을 동시에!","URS/UPI 8천원
해외겸용 1만원
Platinum 2만5천원","점자카드 발급 가능
가족카드 발급 가능",P카드 Love
98,98,신용카드,life,life,"채워라 #, 매월 최대 10만원의 할인 혜택",5만원,"옵션 IC기능 탑재(현금카드, 전자통장, 공인인증서)
후불교통기능, 가족카드 발급가능",P카드 Love Platinum #
99,99,신용카드,life,life,대중교통 할인과 포인트 적립의 결합! 전월 실적 상관 없이 생활친화 가맹점 1% 포인트 적립,"S& 1만원, 국내전용(LOCAL) 1만원,
VISA 1만 4천원","후불교통 기능 필수
가족카드 발급 가능
※ gallery S 카드는 VISA 브랜드만 발급가능",P카드 23.5°
100,100,신용카드,life,life,"세상에 없던 스마트, 잔돈은 할인! 선택서비스, 5% 할인","국내전용 1만원,
해외겸용(VISA, MASTER) 1만 3천원","IC기능 탑재(현금카드, 전자통장, 공인인증서)
후불교통기능, 가족카드 발급가능
※가족카드 단독 발급 불가합니다.",P카드 Cube
101,101,신용카드,life,life,세상에 없던 스마트,"URS 3만 2천원
VISA/MASTER/AMEX 3만 5천원
가족연회비 5천원","IC기능 탑재(현금카드, 전자통장, 공인인증서)
후불교통기능, 가족카드 발급가능
※가족카드 단독 발급 불가합니다.
TVCF 보기",P카드 Cube Platinum #
102,102,신용카드,life,life,품격있는 대명라이프웨이 상조서비스에 대명그룹 서비스까지!,"URS 7,000원/ VISA 12,000원",,대명 P카드 Big plus
103,103,신용카드,life,life,프리드라이프 상조회비 자동이체시 할인까지!,"S& 1만원, VISA 1만 3천원",,프리드라이프 GS칼텍스 P카드 S
104,104,신용카드,life,life,"앞서가는 여성의 필수품, Lady카드!","국내전용 5천원, 해외겸용 7천원, 골드 1만 2천원","후불교통기능, 가족카드 발급가능
※ Lady 카드 디자인 변경으로 카드 발급시점의 재고수량에 따라 실제 수령하시는 카드 디자인과 차이가 있을 수 있습니다.",P카드 Lady
105,105,신용카드,life,life,"Simple하고 쉬운 서비스에 회원 Code에 맞춘
추가(Double) 혜택까지!","S& 1만원, VISA 1만3천원, Master 1만3천원",후불교통기능,P카드 Simple+
106,106,신용카드,life,life,대한민국 신용카드의 베스트셀러,"실버 5천원, 골드 1만원",,BC TOP P카드
107,107,신용카드,life,shopping,"모든가맹점에서 포인트 적립받고 ~
LG전자 가전제품을 알뜰하게 구입하는 방법!","URS 1만원, MASTER 1만2천원, MASTER PLATINUM 2만2천원","가족카드 가능, 후불 교통 가능, 현금 기능 가능",New LG전자 베스트샵 PLUS P카드
108,108,신용카드,shopping,shopping,생활쇼핑 가맹점 최대 15% 할인!,"Master 1만6천원, S& 1만3천원","후불교통가능, 가족카드 발급 가능",P카드 Deep Store
109,109,신용카드,shopping,shopping,신세계백화점 최대 5%할인과 신세계포인트 적립을 동시에!,"UPI 1만 2천원
Master 1만 5천원","가족카드 가능, 후불교통 가능, 현금기능 가능
전화신청 : 080-850-0347",신세계 P카드
110,110,신용카드,shopping,shopping,홈플러스 포인트 2%적립(점외 이용시 0.5%적립),"Local 1만 2천원
VISA 1만 5천원","후불교통 가능, 현금기능 가능",마이 홈플러스 P카드
111,111,신용카드,shopping,shopping,메가마트 포인트 1.5% 적립(점외 이용 시 0.5% 적립),"Master 1만 5천원
S& / Local(국내) 1만 2천원","후불교통가능
가족카드 발급 불가",메가쇼핑 P카드
112,112,신용카드,shopping,shopping,언제 어디서나 특별한 쇼핑의 순간,"VISA 2만3천원, S& 2만","후불교통기능
가족카드 발급 가능",P카드 Shopping
113,113,신용카드,shopping,shopping,"하얗게 눈부신 하루, 오늘은 멋지게 스타일을 꾸며보세요","비자 실버 7천원, 유어스 실버 5천원","가족카드기능, 현금기능 가능",갤러리아-한화이글스 GS칼텍스 P카드 BigPlus
114,114,신용카드,shopping,shopping,"하얗게 눈부신 하루, 오늘은 멋지게 스타일을 꾸며보세요","비자 실버 7천원, 유어스 실버 5천원","가족카드기능, 현금기능가능",갤러리아-한화이글스 P카드 Lady
115,115,신용카드,shopping,shopping,"아이파크몰에서 할인, 포인트 적립은 기본!",해외겸용 7천원,"후불교통기능, 가족카드 발급가능",아이파크몰 P카드 Lady
116,116,신용카드,shopping,shopping,"아이파크몰에서 할인, 포인트 적립은 기본!","국내전용 3천원
(아이파크몰 이용 시 익년도 연회비 면제,
일부임대 매장 제외)","후불교통기능, 가족카드 발급가능",아이파크몰 P카드
117,117,신용카드,shopping,shopping,"아이파크몰에서 할인, 포인트 적립은 기본!",해외겸용 7천원,"후불교통기능, 가족카드 발급가능",아이파크몰 WEEKI P카드 Big Plus GS칼텍스
118,118,신용카드,shopping,shopping,'할인'과 '추가적립'에 'P사카드 기본서비스'까지!,"URS 5천원, 해외겸용 7천원
2년차 이후 전년도 해당카드 누계 100만원 이상
이용 시 연회비 면제","후불교통기능, 가족카드 발급가능",세이브존 P카드 Lady
119,119,신용카드,shopping,shopping,할인과 추가적립에 P사카드 기본서비스까지!!,"URS 5천원, 해외겸용 7천원
2년차 이후 전년도 해당카드 누계 100만원 이상
이용 시 연회비 면제","후불교통기능, 가족카드 발급가능",세이브존 GS칼텍스 P카드 BigPlus
120,120,신용카드,shopping,shopping,새로운 생활을 발견하는 실속있는 선택~,"해외겸용 7천원
초년도 정상청구 (2차년 이후 전년도 AK제휴카드로 100만원 이상 이용시 면제)","후불교통기능, 가족카드 발급 기능",AK P카드 2030
121,121,신용카드,shopping,shopping,새로운 생활을 발견하는 실속있는 선택~,"해외겸용 7천원
초년도 정상청구 (2차년 이후 전년도 AK제휴카드로 100만원 이상 이용시 면제)","후불교통기능, 가족카드 발급 기능",AK P카드 Lady
122,122,신용카드,shopping,shopping,새로운 생활을 발견하는 실속있는 선택~,"해외겸용 7천원
초년도 정상청구
(2차년 이후 전년도 AK제휴카드로 100만원 이상 이용시 면제)","후불교통기능, 가족카드 발급 기능",AK GS칼텍스 P카드 BigPlus
123,123,신용카드,shopping,shopping,대동백화점이 P사카드와 함께 더 알찬 서비스로 찾아갑니다.,해외겸용 7천원,,NEW 대동백화점 P카드 Lady 할인형
124,124,신용카드,shopping,shopping,이마트 이용시 최대5%할인과 신세계포인트 적립의 혜택을 동시에 누릴 수 있는 스마트 카드,"URS 7천원,
해외겸용 VISA(S) 1만 2천원, VISA(P) 2만 2천원,
MASTER(S) 1만 2천원, MASTER(P) 2만 2천원","가족카드가능, 후불교통가능, 현금기능가능
전화신청 : 1544-4677",WISE&SHOPPING 이마트 P카드 DISCOUNT
125,125,신용카드,shopping,shopping,회원제 창고형 할인매장의 쇼핑 파트너!,"S& 1만원, 해외겸용 VISA 1만 3천원",,롯데VIC마켓 P카드
126,126,신용카드,shopping,shopping,"쇼핑을 위한 최고의 카드!
모다아울렛 P사카드로 즐거운 쇼핑생활을 누리세요.","UPI 1만원, MASTER 1만 3천원",후불교통 기능,모다아울렛 P카드
127,127,신용카드,shopping,shopping,"쇼핑 랜드마크 LF 스퀘어만의 특별한 혜택
쇼핑,커피, 편의점, 영화할인까지",URS 1만원/ MATER 1만 3천원,가족카드발급가능 / 후불교통선택가능,LF SQUARE P카드
128,128,신용카드,shopping,travel,"신세계백화점의 혜택과 항공 마일리지 적립을
동시에 누릴 수 있는 카드","UPI 4만 2천원
Master 4만 5천원","후불교통 가능, 현금기능 가능
전화신청 : 080-850-0347",신세계 P카드 SKYPASS / Asiana Club
129,129,신용카드,shopping,shopping,"신세계백화점 '트리니티, 다이아몬드(1억이상)' 회원 전용","VISA(해외겸용) 20만원
국내전용 19만 7천원","후불교통가능, 가족카드 발급 불가",THE BOON SVIP P카드
130,130,신용카드,shopping,shopping,"신세계백화점 '트리니티, 다이아몬드, 플래티넘, 골드' 회원 전용","VISA(해외겸용) 5만원
국내전용 4만 7천원","후불교통가능
가족카드 발급 불가",THE BOON VIP P카드
131,131,신용카드,shopping,shopping,"Healthy & Beautiful Life
LG생활건강 P사카드와 함께 건강하고 아름다운 삶을 누려보세요.","URS 7,000원/ VISA 12,000원","후불교통기능, 가족카드 발급가능,
현금기능 가능",LG생활건강 L스타일 P카드 Lady
132,132,신용카드,shopping,shopping,"Healthy & Beautiful Life
LG생활건강 P사카드와 함께 건강하고 아름다운 삶을 누려보세요.","URS 7,000원/ VISA 12,000원","후불교통기능, 가족카드 발급가능,
현금기능 가능",LG생활건강 G스타일 GS칼텍스 P카드 Big Plus
133,133,신용카드,shopping,life,부담되는 렌탈료 최대 1만원 할인,"URS 7,000원","후불교통기능 , 가족카드 발급가능 , 현금기능 가능
전화신청 : 080-700-1070",쿠쿠 프리멤버쉽 GS칼텍스 P카드 S
134,134,신용카드,shopping,life,세계적인 뉴트리션 전문기업 허벌라이프와 Asia No.1 P사카드의 만남!,"국내전용 8천원, 해외겸용 1만원, 플래티늄 1만5천원","IC기능 탑재(현금카드, 전자통장, 공인인증서)후불교통기능,
가족카드 발급 가능",허벌라이프 P카드 Hi-Point
135,135,신용카드,shopping,life,"할인과 적립, 금융 혜택을 동시에 누린다.","URS/UPI 8천원, 해외겸용 1만원, Platinum 2만5천원","점자카드 발급 가능
가족카드 발급 가능",퍼스트가든 P카드 LOVE
136,136,신용카드,shopping,life,부담되는 렌탈료 1만원 할인!,"URS 7,000원","가족카드 가능, 후불교통기능 가능, 현금기능 가능",청호나이스 P카드
137,137,신용카드,shopping,shopping,"모든 가맹점에서 포인트 적립받고, 한샘가구 제품의 알뜰한 구매까지!","URS 10,000원 / VISA 12,000원
VISA PLATINUM 22,000원",,한샘 P카드 Style T
138,138,신용카드,shopping,life,GS리테일 매장 이용의 필수 아이템!,1만원,"후불교통 선택가능,
가족카드 발급가능",팝 P카드 Lady
139,139,신용카드,shopping,life,"GS리테일(GS수퍼, GS25, 왓슨스) 매장의 필수 아이템!",1만원,"후불교통 선택가능,
가족카드 발급가능",팝 P카드 2030
140,140,신용카드,shopping,life,세상을 복음의 빛으로 바꾸는 GOOD 카드,"국내전용 5천원, 해외겸용 7천원","후불교통기능, 가족카드 발급가능",GOOD P카드 Style-S
141,141,신용카드,shopping,shopping,쇼핑의 스타일이 다른 당신이라면 ‥ Style S,"국내전용 5천원, 해외겸용 7천원","후불교통기능, 가족카드 발급가능",P카드 Style-S
142,142,신용카드,onlineShopping,shopping,"쉽고 편한 모바일 쇼핑, 세상 편한 SK pay 결제!","Master 8천원
S&(로컬) 5천원",후불교통 선택가능,11번가 P카드
143,143,신용카드,onlineShopping,shopping,"간편결제(Pay) 최대 20%, 생활서비스 20% 결제일 할인","Master 3만3천원, UPI 3만원",간편결제(Pay),P카드 Deep On Platinum+
144,144,신용카드,onlineShopping,shopping,더 가벼워진 카드! 더 무거워진 서비스!,"S& 1만원, Master 1만 3천원",모바일 단독 카드,P카드 O2O
